"","gene","X","baseMean","log2FoldChange_raw","lfcSE","stat","pvalue","padj_raw","log2FoldChange_shrunk","padj_shrunk","diffexpressed","Label"
"39217","evm.TU.utg9875.10","evm.TU.utg9875.10",6.66406614362404,-0.0918752824891415,0.719490120989593,-0.127694988171311,0.898390356482495,NA,-0.000943279094930989,NA,"Non-Sig","NO"
"39218","evm.TU.utg9875.11","evm.TU.utg9875.11",6.82784767883921,-0.135911354902853,0.871564741571653,-0.1559394826571,0.876080723317876,NA,-0.00120450153705472,NA,"Non-Sig","NO"
"39219","evm.TU.utg9875.12","evm.TU.utg9875.12",85.7075536803957,-0.100808851918294,0.242323097606082,-0.416010082877728,0.677402625107519,0.997907053518423,-0.00126942917840932,0.997907053518423,"Non-Sig","NO"
"39220","evm.TU.utg9875.13","evm.TU.utg9875.13",15.5204169648949,0.122112069085644,0.593454587303576,0.205764807784994,0.836974632245787,NA,0.00139877957858787,NA,"Non-Sig","NO"
"39221","evm.TU.utg9875.16","evm.TU.utg9875.16",0.253325921147331,0.786895693071948,3.10010693907516,0.253828564154854,0.799628004962444,NA,0.00111029380943256,NA,"Non-Sig","NO"
"39222","evm.TU.utg9875.17","evm.TU.utg9875.17",3.92498051839597,0.417358264038917,0.929015504674272,0.449247899458093,0.653252837353016,NA,0.0035910777162085,NA,"Non-Sig","NO"
"39223","evm.TU.utg9875.18","evm.TU.utg9875.18",31.6767517297242,-0.356793551220604,0.370213429155705,-0.963750969364603,0.335170793799159,0.96508363776187,-0.0059813240278346,0.96508363776187,"Non-Sig","NO"
"39224","evm.TU.utg9875.19","evm.TU.utg9875.19",526.991874619517,0.472344595986536,0.184144150358061,2.56508064507117,0.0103151827045927,0.349679574488322,0.0654435372430475,0.349679574488322,"Non-Sig","NO"
"39225","evm.TU.utg9875.2","evm.TU.utg9875.2",1.98232936078874,-1.43422784881305,1.47094469441307,-0.975038595441779,0.329541115536344,NA,-0.0074708942851858,NA,"Non-Sig","NO"
"39226","evm.TU.utg9875.20","evm.TU.utg9875.20",39.6070439999805,-0.283759288870195,0.373443146053274,-0.75984602172807,0.447346629973587,0.984127557973931,-0.00421808276274611,0.984127557973931,"Non-Sig","NO"
"39227","evm.TU.utg9875.22","evm.TU.utg9875.22",0.149582265678008,0.235721298414596,3.11285152280544,0.0757251981624079,0.939637728313461,NA,0.000329458856686826,NA,"Non-Sig","NO"
"39228","evm.TU.utg9875.3","evm.TU.utg9875.3",21.5852604181624,-0.417972631541683,0.41175389394229,-1.01510304502491,0.310056710275453,0.959461722478369,-0.00715943179718178,0.959461722478369,"Non-Sig","NO"
"39229","evm.TU.utg9875.4","evm.TU.utg9875.4",28.1636611631608,-0.0667975258139627,0.380371804690079,-0.175611138865533,0.86059945080608,0.998102311351632,-0.000826341808205851,0.998102311351632,"Non-Sig","NO"
"39230","evm.TU.utg9875.5","evm.TU.utg9875.5",3.93648167832908,-1.133778212163,0.977840913992163,-1.15947103045035,0.246264238312161,NA,-0.01111780463187,NA,"Non-Sig","NO"
"39231","evm.TU.utg9875.6","evm.TU.utg9875.6",8.77397182158254,-0.92087984186241,0.697068856877902,-1.32107442869695,0.186476548418556,NA,-0.0143572477276251,NA,"Non-Sig","NO"
"39232","evm.TU.utg9875.7","evm.TU.utg9875.7",26.2074427525931,0.456734831922475,0.373580108780303,1.22258873314659,0.221485070728634,0.925583951477528,0.00929312986551693,0.925583951477528,"Non-Sig","NO"
"39233","evm.TU.utg9875.8","evm.TU.utg9875.8",472.214275360522,0.526350997982334,0.183563543211951,2.86740487120902,0.00413853200174471,0.239890725341784,0.131101285701882,0.239890725341784,"Non-Sig","NO"
"39234","evm.TU.utg9875.9","evm.TU.utg9875.9",16.47225888905,-0.332242037304246,0.484137126122534,-0.68625606130474,0.492551651268322,NA,-0.00460204814011441,NA,"Non-Sig","NO"
"39235","evm.TU.utg989.1","evm.TU.utg989.1",144.510599458405,-0.387984204691747,0.310728313367859,-1.24862842554173,0.211801010565761,0.921262177671663,-0.00816377569300091,0.921262177671663,"Non-Sig","NO"
"39236","evm.TU.utg989.10","evm.TU.utg989.10",17.4044194333636,0.0914375976543394,0.563453103576628,0.162280759612329,0.87108476544717,0.998102311351632,0.00106408224708355,0.998102311351632,"Non-Sig","NO"
"39237","evm.TU.utg989.11","evm.TU.utg989.11",65.0920193209667,-0.320618062512522,0.268394293596633,-1.19457853673438,0.232251739164467,0.93264480199327,-0.00636788148452782,0.93264480199327,"Non-Sig","NO"
"39238","evm.TU.utg989.12","evm.TU.utg989.12",0.229050495821841,-0.150191596911557,3.08865324864093,-0.0486268884270657,0.961216641441482,NA,-0.000212813311574875,NA,"Non-Sig","NO"
"39239","evm.TU.utg989.14","evm.TU.utg989.14",102.733657126777,-1.75134092916677,0.538179545532342,-3.25419452245147,0.00113714385560937,0.123785583931533,-0.356968088833992,0.123785583931533,"Non-Sig","NO"
"39240","evm.TU.utg989.15","evm.TU.utg989.15",861.888093995966,-0.576263246815245,0.282323389696281,-2.04114596185311,0.0412363210652756,0.612181583575564,-0.0322509978721956,0.612181583575564,"Non-Sig","NO"
"39241","evm.TU.utg989.16","evm.TU.utg989.16",85.2247568915604,0.0559393430684589,0.229483428329547,0.243762015739663,0.807415140071757,0.997907053518423,0.000677714197662052,0.997907053518423,"Non-Sig","NO"
"39242","evm.TU.utg989.17","evm.TU.utg989.17",2433.20441107887,0.060073730489615,0.163262929779267,0.367956954899899,0.712905330881863,0.997907053518423,0.000797418390316922,0.997907053518423,"Non-Sig","NO"
"39243","evm.TU.utg989.18","evm.TU.utg989.18",93.3555525392452,0.000553849203017503,0.340436515613278,0.00162687954322342,0.998701938502781,0.99984639822669,6.74784181499926e-06,0.99984639822669,"Non-Sig","NO"
"39244","evm.TU.utg989.19","evm.TU.utg989.19",1.33085613809059,0.691348997891188,2.21420757988208,0.312233145696306,0.75486334374704,NA,0.00174771791423577,NA,"Non-Sig","NO"
"39245","evm.TU.utg989.2","evm.TU.utg989.2",231.469356697443,-0.0559348821345196,0.189886719564604,-0.294569742753859,0.768322578844593,0.997907053518423,-0.000697447052248185,0.997907053518423,"Non-Sig","NO"
"39246","evm.TU.utg989.20","evm.TU.utg989.20",405.93471529745,-0.0187724737219587,0.234816378407664,-0.0799453336656435,0.93628073413858,0.998360853062302,-0.000223466173817299,0.998360853062302,"Non-Sig","NO"
"39247","evm.TU.utg989.21","evm.TU.utg989.21",1100.25729062296,-0.424917566909578,0.282464788618866,-1.5043204818103,0.132498867821426,0.85627575236724,-0.0115712979703429,0.85627575236724,"Non-Sig","NO"
"39248","evm.TU.utg989.22","evm.TU.utg989.22",41.3644606640012,0.969450790631594,0.495037498440414,1.95833809294405,0.050190353749858,0.655439458326956,0.0366569857043405,0.655439458326956,"Non-Sig","NO"
"39249","evm.TU.utg989.23","evm.TU.utg989.23",1288.18955973923,-0.187104955098772,0.164833868808675,-1.1351123191554,0.256328260568354,0.941864113640362,-0.00344505878174505,0.941864113640362,"Non-Sig","NO"
"39250","evm.TU.utg989.25","evm.TU.utg989.25",220.336955402094,-0.218250727314398,0.289602911332757,-0.753620625946074,0.45107705552247,0.984160789600785,-0.0031988782714201,0.984160789600785,"Non-Sig","NO"
"39251","evm.TU.utg989.26","evm.TU.utg989.26",1.44644396903231,0.270313234938587,1.75486472457358,0.154036508429031,0.877580949531983,NA,0.000990573236764761,NA,"Non-Sig","NO"
"39252","evm.TU.utg989.27","evm.TU.utg989.27",112.67838371839,0.27322066162282,0.419352008815033,0.651530589766012,0.514704037266421,0.989162055794293,0.00382973347300293,0.989162055794293,"Non-Sig","NO"
