"region_from_list","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","gene_id_labelling","Count","geneID_gene_level","dmr_feature_id","region_feature","context","methDiff","p_fdr","n_unique_genes_for_term","n_dmr_features_for_term","GO","region","experiment","GeneRatio_raw","BgRatio_raw","ontology","semantic_cluster_id","semantic_cluster_GO","semantic_cluster_Description","cluster_size","mean_similarity_to_cluster"
"gene","GO:0050896","response to stimulus",0.0625,0.0065359477124183,1,9.5625,2.92617497767991,0.104575163398693,0.167320261437909,0.167320261437909,"evm.utg320.52",1,"evm.utg320.52","exp2__gene__evm.utg320.52__21105","gene","CHH",-1.041293593,0.068365712,1,1,"Biological Processes","gene","Acute Experiment","1/16","1/153","BP","BP_26","GO:0050896","response to stimulus",2,0.705882352941176
"gene","GO:0051301","cell division",0.0625,0.0065359477124183,1,9.5625,2.92617497767991,0.104575163398693,0.167320261437909,0.167320261437909,"evm.utg1890.18",1,"evm.utg1890.18","exp2__gene__evm.utg1890.18__11471","gene","CHG",-0.57208238,0.005708196,1,1,"Biological Processes","gene","Acute Experiment","1/16","1/153","BP","BP_2","GO:0007154","cell communication",3,0.657236149017841
"gene","GO:0070202","regulation of establishment of protein localization to chromosome",0.0625,0.0065359477124183,1,9.5625,2.92617497767991,0.104575163398693,0.167320261437909,0.167320261437909,"evm.utg43451.17",1,"evm.utg43451.17","exp2__gene__evm.utg43451.17__5762","gene","CpG",-3.041825095,0.008102343,1,1,"Biological Processes","gene","Acute Experiment","1/16","1/153","BP","BP_29","GO:0070202","regulation of establishment of protein localization to chromosome",1,1
"gene","GO:0006886","intracellular protein transport",0.0625,0.0130718954248366,0.5,4.78125,1.83351056973488,0.198830409356725,0.265107212475634,0.265107212475634,"evm.utg7656.7",1,"evm.utg7656.7","exp2__gene__evm.utg7656.7__12473","gene","CHG",-2.369114397,0.090915275,1,1,"Biological Processes","gene","Acute Experiment","1/16","2/153","BP","BP_11","GO:0055085","transmembrane transport",5,0.49586896840202
"gene","GO:0030154","cell differentiation",0.0625,0.0130718954248366,0.5,4.78125,1.83351056973488,0.198830409356725,0.265107212475634,0.265107212475634,"evm.utg1828.1",1,"evm.utg1828.1","exp2__gene__evm.utg1828.1__11460","gene","CHG",-0.414937759,0.038906857,1,1,"Biological Processes","gene","Acute Experiment","1/16","2/153","BP","BP_17","GO:0070593","dendrite self-avoidance",2,0.748310163501551
"gene","GO:0055085","transmembrane transport",0.0625,0.0130718954248366,0.5,4.78125,1.83351056973488,0.198830409356725,0.265107212475634,0.265107212475634,"evm.utg3522.31",1,"evm.utg3522.31","exp2__gene__evm.utg3522.31__21164","gene","CHH",-1.175406872,0.038171131,1,1,"Biological Processes","gene","Acute Experiment","1/16","2/153","BP","BP_11","GO:0055085","transmembrane transport",5,0.592575962758518
"gene","GO:0007165","signal transduction",0.0625,0.0196078431372549,0.333333333333333,3.1875,1.30342054206962,0.283722551411641,0.34046706169397,0.34046706169397,"utg11962.equina_smart_1469162utrorf.mrna1",1,"utg11962.equina_smart_1469162utrorf.mrna1","exp2__gene__utg11962.equina_smart_1469162utrorf.mrna1__4870","gene","CpG",4.368932039,0.055443964,1,1,"Biological Processes","gene","Acute Experiment","1/16","3/153","BP","BP_13","GO:1901987","regulation of cell cycle phase transition",2,0.678415728034602
"gene","GO:0045892","negative regulation of DNA-templated transcription",0.0625,0.0196078431372549,0.333333333333333,3.1875,1.30342054206962,0.283722551411641,0.34046706169397,0.34046706169397,"evm.utg2606.44",1,"evm.utg2606.44","exp2__gene__evm.utg2606.44__20934","gene","CHH",-0.586206897,0.004131364,1,1,"Biological Processes","gene","Acute Experiment","1/16","3/153","BP","BP_7","GO:0045944","positive regulation of transcription by RNA polymerase II",3,0.728638701869188
"gene","GO:0006468","protein phosphorylation",0.125,0.0718954248366013,0.181818181818182,1.73863636363636,0.866172430892232,0.322681965044022,0.368779388621739,0.368779388621739,"evm.utg1890.18",2,"evm.utg1890.18/evm.utg483.15","exp2__gene__evm.utg1890.18__11471","gene","CHG",-0.57208238,0.005708196,2,2,"Biological Processes","gene","Acute Experiment","2/16","11/153","BP","BP_8","GO:0006468","protein phosphorylation",4,0.703374850063978
"gene","GO:0006468","protein phosphorylation",0.125,0.0718954248366013,0.181818181818182,1.73863636363636,0.866172430892232,0.322681965044022,0.368779388621739,0.368779388621739,"evm.utg483.15",2,"evm.utg1890.18/evm.utg483.15","exp2__gene__evm.utg483.15__21541","gene","CHH",-2.005730659,0.007817485,2,2,"Biological Processes","gene","Acute Experiment","2/16","11/153","BP","BP_8","GO:0006468","protein phosphorylation",4,0.703374850063978
