"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","gene_id_labelling","Count","geneID_gene_level","dmr_feature_id","region_feature","context","methDiff","p_fdr","n_unique_genes_for_term","n_dmr_features_for_term","GO","region","experiment","GeneRatio_raw","BgRatio_raw"
"GO:0008017","microtubule binding",0.0416666666666667,0.00615006150061501,0.2,6.775,2.25775308419577,0.139463717015473,0.241725167756029,0.193380134204823,"evm.utg4428.8",1,"evm.utg4428.8","exp1__gene__evm.utg4428.8__9008","gene","CHG",2.283105023,0.078881824,1,2,"Molecular Functions","gene","Acute Experiment","1/24","5/813"
"GO:0008017","microtubule binding",0.0416666666666667,0.00615006150061501,0.2,6.775,2.25775308419577,0.139463717015473,0.241725167756029,0.193380134204823,"evm.utg4428.8",1,"evm.utg4428.8","exp1__gene__evm.utg4428.8__15555","gene","CHH",1.353345571,0.089022737,1,2,"Molecular Functions","gene","Acute Experiment","1/24","5/813"
"GO:0016779","nucleotidyltransferase activity",0.0416666666666667,0.00615006150061501,0.2,6.775,2.25775308419577,0.139463717015473,0.241725167756029,0.193380134204823,"evm.utg6459.27",1,"evm.utg6459.27","exp1__gene__evm.utg6459.27__15885","gene","CHH",-1.271571299,0.000841832,1,1,"Molecular Functions","gene","Acute Experiment","1/24","5/813"
"GO:0004672","protein kinase activity",0.0833333333333333,0.028290282902829,0.0869565217391304,2.94565217391304,1.64991172892071,0.145035100653617,0.241725167756029,0.193380134204823,"evm.utg116.142",2,"evm.utg116.142/evm.utg2661.21","exp1__gene__evm.utg116.142__8287","gene","CHG",-2.764976959,0.011207233,2,3,"Molecular Functions","gene","Acute Experiment","2/24","23/813"
"GO:0004672","protein kinase activity",0.0833333333333333,0.028290282902829,0.0869565217391304,2.94565217391304,1.64991172892071,0.145035100653617,0.241725167756029,0.193380134204823,"evm.utg116.142",2,"evm.utg116.142/evm.utg2661.21","exp1__gene__evm.utg116.142__14681","gene","CHH",-1.025641026,0.001101447,2,3,"Molecular Functions","gene","Acute Experiment","2/24","23/813"
"GO:0004672","protein kinase activity",0.0833333333333333,0.028290282902829,0.0869565217391304,2.94565217391304,1.64991172892071,0.145035100653617,0.241725167756029,0.193380134204823,"evm.utg2661.21",2,"evm.utg116.142/evm.utg2661.21","exp1__gene__evm.utg2661.21__8712","gene","CHG",-0.856327307,0.034308825,2,3,"Molecular Functions","gene","Acute Experiment","2/24","23/813"
"GO:0004540","RNA nuclease activity",0.0416666666666667,0.00738007380073801,0.166666666666667,5.64583333333333,1.9908916144654,0.165024200668479,0.257850313544498,0.206280250835599,"evm.utg2661.21",1,"evm.utg2661.21","exp1__gene__evm.utg2661.21__8712","gene","CHG",-0.856327307,0.034308825,1,1,"Molecular Functions","gene","Acute Experiment","1/24","6/813"
"GO:0004867","serine-type endopeptidase inhibitor activity",0.0416666666666667,0.00861008610086101,0.142857142857143,4.83928571428571,1.77818550558426,0.189856194700643,0.279200286324474,0.22336022905958,"evm.utg4605.20",1,"evm.utg4605.20","exp1__gene__evm.utg4605.20__4341","gene","CpG",2.75,0.030262681,1,2,"Molecular Functions","gene","Acute Experiment","1/24","7/813"
"GO:0004867","serine-type endopeptidase inhibitor activity",0.0416666666666667,0.00861008610086101,0.142857142857143,4.83928571428571,1.77818550558426,0.189856194700643,0.279200286324474,0.22336022905958,"evm.utg4605.20",1,"evm.utg4605.20","exp1__gene__evm.utg4605.20__9018","gene","CHG",2.857142857,0.01501397,1,2,"Molecular Functions","gene","Acute Experiment","1/24","7/813"
"GO:0008270","zinc ion binding",0.125,0.0762607626076261,0.0483870967741935,1.63911290322581,0.912638101036354,0.274443081525479,0.381170946563165,0.304936757250532,"evm.utg3906.20",3,"evm.utg3906.20/evm.utg28737.6/evm.utg1032.34","exp1__gene__evm.utg3906.20__4225","gene","CpG",-2.631578947,1.76e-05,3,4,"Molecular Functions","gene","Acute Experiment","3/24","62/813"
