"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"evm.TU.utg4.68",21.4821410249985,-0.000328307378780799,0.0158312394784475,0.260982526347239,0.99999995182314
"evm.TU.utg4.69",33.7906327653828,-0.000206860616668882,0.0112667615717191,0.449900556132049,0.99999995182314
"utg4.equina_smart_49562.path1",36.0274447067072,4.45309295903071e-05,0.0102820122310187,0.869699339855356,0.99999995182314
"tRNAscan-SE.tRNA.utg4.Cys(ACA).2",2.27243983835573,0.000181138810389094,0.021729663420763,0.574591108605249,NA
"tRNAscan-SE.tRNA.utg4.Cys(ACA).3",1.84007633367464,7.65701791598605e-05,0.0179574330018336,0.787115852421558,NA
"evm.TU.utg4.70",27.2923175321254,0.000110244470441338,0.0104135925598738,0.688494015879805,0.99999995182314
"evm.TU.utg4.71",55.4820840495912,0.000472199664829146,0.0128717345622804,0.164676912397369,0.99999995182314
"evm.TU.utg4.72",11.8949127427752,-0.000219374183297006,0.0124038219240978,0.407242762206799,0.99999995182314
"evm.TU.utg4.73",10.0697446626374,0.000133184825803797,0.0136315083630506,0.590385019975664,NA
"evm.TU.utg4.74",427.922104337952,0.000217462845794177,0.00967959727207858,0.621308339970413,0.99999995182314
"evm.TU.utg4.75",0.0768743769772513,9.8394317530287e-06,0.0320949457317636,0.976548562122256,NA
"evm.TU.utg4.76",0.373462161562918,4.42785386707729e-05,0.0320621444131344,0.895279632326608,NA
"evm.TU.utg4.77",2.10924680227992,-2.51732463591835e-06,0.0195640024701468,0.993302448417202,NA
"evm.TU.utg4.78",3.62225861174502,1.7428532497637e-05,0.0161632402669343,0.947470233377053,NA
"evm.TU.utg4.79",135.983453463919,0.00257377395642534,0.0373648620991199,0.00727725537321425,0.963627154940009
"evm.TU.utg4.80",0.146750088468633,-5.34190778671057e-05,0.0322454380698916,0.873549218794659,NA
"evm.TU.utg4.81",7.70223229460766,-6.5816090386236e-05,0.0119898296984414,0.780646596124006,NA
"evm.TU.utg4.83",93.8053422391794,0.000181327558086137,0.0113926919808495,0.492325285203917,0.99999995182314
"evm.TU.utg4.82",21.9218360191099,2.6382908869873e-05,0.01118824338061,0.911937557569241,0.99999995182314
"evm.TU.utg4.84",15.123864990846,5.51536776278395e-05,0.0119141562794389,0.814848478645085,0.99999995182314
"evm.TU.utg4.85",168.928667812661,0.000995668294287734,0.0118193215958166,0.0589639173418339,0.99999995182314
"evm.TU.utg4.86",3.40444713438628,0.000296625087376642,0.0277569296762709,0.432425763349276,NA
"evm.TU.utg4.87",5.14628333723724,-0.00179268145290634,0.0507429395516507,0.0352667126052053,NA
"evm.TU.utg4.88",47.1800856206463,1.67425141207526e-07,0.0102868565456869,0.999502472408367,0.99999995182314
"evm.TU.utg5.1",4.81436651785972,3.80581875968888e-05,0.0154649556458283,0.882469234789532,NA
"evm.TU.utg5.2",0.209545165862691,-4.97099306843669e-05,0.0321616997856819,0.882390317664583,NA
